id,listing_url,scrape_id,last_scraped,name,description,host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,rating_vs_accuracy
51897296,https://www.airbnb.com/rooms/51897296,20250926170004.0,2025-09-26,RIO HOTEL RESIDENCE,,2016-01-30,BARRA DA TIJUCA,-23.01061,-43.34447,Entire home/apt,4.0,2.0,2.0,2.0,450.0,4.86,5.0,False
602842954033417083,https://www.airbnb.com/rooms/602842954033417083,20250926170004.0,2025-09-27,3DF: APT FOR 4 GUESTS - DOMINGOS FERREIRA ST.,"👋 ONE BLOCK FROM THE BEACH, ON RUA DOMINGOS FERREIRA, IN COPACABANA (POSTO-4).<BR /><BR />THIS COZY LIVING ROOM AND BEDROOM APARTMENT IS ON THE 12TH FLOOR OF A FAMILY BUILDING, WITH ONLY FOUR APARTMENTS PER FLOOR. LOCATED IN THE BACK, IT RECEIVES THE PLEASANT AFTERNOON SUN AND OFFERS A CHARMING VIEW OF CHRIST THE REDEEMER. IT HAS TWO AIR-CONDITIONERS, TWO BATHROOMS (SOCIAL AND EN-SUITE) AND A FULL KITCHEN WITH COOKTOP STOVE, MICROWAVE, REFRIGERATOR, PRESSURIZER, GAS HEATER AND CABINETS.",2019-07-09,COPACABANA,-22.9730361908022,-43.18605695711888,Entire home/apt,4.0,2.0,1.0,2.0,1084.0,5.0,5.0,True
1284328048164107983,https://www.airbnb.com/rooms/1284328048164107983,20250926170004.0,2025-09-27,UMA CASA NO CORAÇÃO DE IPANEMA,"THE VACATION YOU DESERVE! THE APARTMENT THAT SURPRISES, IN IPANEMA, NEXT TO THE COMMERCE AND CLOSE TO THE METRO. <BR /><BR />2 BLOCKS FROM THE BEACH, WITH SEVERAL OPTIONS OF RESTAURANTS, BARS AND BAKERIES JUST A FEW STEPS. <BR /><BR />GET ACCESS TO ALL THE BEAUTY AND HUSTLE AND BUSTLE OF RIO'S SOUTH ZONE BUT WITH A DIFFERENTIAL, AN OUTDOOR AREA, WITH A BARBECUE, TO ENJOY MOMENTS AT HOME TOO!",2017-01-31,IPANEMA,-22.98452,-43.20103,Entire home/apt,6.0,3.0,3.0,3.0,3040.0,5.0,5.0,True
53770913,https://www.airbnb.com/rooms/53770913,20250926170004.0,2025-09-27,APARTMENT IN THE CENTER OF RIO,"COZY APARTMENT IN THE HEART OF THE LAPA NEIGHBORHOOD. COMPRISING A BALCONY OVERLOOKING THE ARCHES. BRIGHT, COZY, BACK AND COMFORTABLE ENVIRONMENT, IN A SAFE BUILDING WITH 24-HOUR DOORMAN AND CLOSE TO THE BEST RIO HAS TO OFFER.<BR /><BR />WITH TV, AIR CONDITIONING, KITCHEN, MICROWAVE, DOUBLE BED, FAN, BED AND BATH LINEN, HOUSEHOLD UTENSILS, BATHROOM AND A SMALL BALCONY WITH A SINK.<BR /><BR />CLOSE TO THE MAIN STREET OF THE NEIGHBORHOOD, WHERE LAPA'S MAIN MUSIC VENUES ARE LOCATED.",2021-11-16,CENTRO,-22.91295,-43.18126,Entire home/apt,5.0,1.0,1.0,2.0,184.0,4.81,4.88,False
1049214057769175287,https://www.airbnb.com/rooms/1049214057769175287,20250926170004.0,2025-09-27,ALUGUEL OU TEMPORADA NA URCA,"A VILLA IN URCA IS A VILLA FOR VILLA/SEASON.<BR />A LIVING ROOM, A BEDROOM, A KITCHEN, A BATHROOM, A LAUNDRY ROOM AND AN OUTDOOR AREA WITH A SPACIOUS PATIO.<BR />INTERNET, WATER, ELECTRICITY AND GAS INCLUDED IN THE RENTAL.<BR /><BR />WE HAVE AS SIGHTS THE SUGAR LOAF, MORRO DA URCA, URCA TRAIL, RED BEACH AND URCA BEACH. <BR />2 SHOPPING MALLS, RESTAURANTS AND MARKET. WE ARE 10 MIN FROM COPACABANA AND BOTAFOGO, BY CAR.<BR />EASY ACCESS TO TAXI, UBER AND BUS. <BR /><BR />CONTACT ME FOR MORE INFORMATION ABOUT THE SEASON.",2021-08-14,URCA,-22.954103861448985,-43.16805901620259,Entire home/apt,2.0,1.0,1.0,0.0,315.0,4.73,4.93,False
1463369115685644890,https://www.airbnb.com/rooms/1463369115685644890,20250926170004.0,2025-09-27,FLAT PARADISE COM GARAGEM,"FLAT WITH INDEPENDENT ACCESS IN THE VIA PREMIÈRE CONDOMINIUM, BARRA OLÍMPICA NEIGHBORHOOD, 2.2 KM FROM RIO CENTRO, 7.3 KM - FARMASI ARENA AND 9.2 KM - POSTO 10 PRAIA DO RECREIO.<BR /><BR />CONDOMINIUM WITH 24/7 CONDOMINIUM AND ACCESS TO A SUITE VIA ELECTRONIC PASSWORD.",2023-09-20,CAMORIM,-22.98118,-43.42233,Entire home/apt,4.0,1.0,1.0,1.0,238.0,5.0,5.0,True
1340970305714827348,https://www.airbnb.com/rooms/1340970305714827348,20250926170004.0,2025-09-27,APARTAMENTO STUDIO CHARMOSO NA LAPA,"DISCOVER THE CHARM OF LAPA BY STAYING IN OUR CHARMING STUDIO, IDEAL FOR THOSE LOOKING FOR COMFORT AND PRACTICALITY. LOCATED NEAR THE FAMOUS GLÓRIA FAIR, YOU WILL BE JUST STEPS AWAY FROM THE REDUTO DO SAMBA AND THE ICONIC BECO DO RATO BAR. <BR /><BR />EXPLORE THE BEAUTIES OF THE REGION, SUCH AS THE COLORFUL SELARÓN STAIRCASE AND THE ARCOS DA LAPA, AS WELL AS BEING WITHIN WALKING DISTANCE TO SANTOS DUMONT AIRPORT AND THE BEACHES. THE NEIGHBORHOOD HAS EASY ACCESS  AND WELL SERVED BY PUBLIC TRANSPORTATION. NEXT TO THE SUBWAY.",2020-06-05,CENTRO,-22.915770621078813,-43.17824060454805,Entire home/apt,2.0,1.0,1.0,1.0,130.0,4.97,5.0,False
23475892,https://www.airbnb.com/rooms/23475892,20250926170004.0,2025-09-27,HOUSE OF LIGHT,"THE (HOUSE OF LIGHT) IS THE MOST AMAZING  VILLA IN RIO DE JANEIRO. FAMOUSLY FURNISHED AND DECORATED, THIS 1000M2 WORK OF ART IS LOCATED ON 4000M2 OF LAND AND NESTLED ON THE MOUNTAIN SIDE UNDER THE PEDRA BONITA. WHILE BOASTING A SPECTACULAR PANORAMIC VIEW TO THE BEACHES OF SAO CONRADO, THE CASA DO LUZ IS PRIVACY AT ITS BEST AND PERFECT FOR THOSE WHO LOOK FORWARD TO AVOID CROWDS. BEST SCENARIO FOR VIDEO, MOVIES, PROFESSIONAL  PHOTOGRAPHY, TV COMMERCIALS AND UPSCALE TRAVELLERS.<BR />EVENTS UPON REQUEST!<BR /><BR />PREÇOS PARA SEMANA DE ANO NOVO E CARNAVAL SÃO DIFERENCIADOS, FAVOR CONSULTAR PREÇOS ANTES DE FAZER RESERVAS PARA ESSAS DATAS.<BR />________________________________<BR />PRICES FOR NEW YEARS OR CARNIVAL WEEK ARE DIFFERENT THAN REGULAR PRICES, PLEASE CONSULT IT BEFORE TRYING TO BOOK.<BR />________________________________<BR />LOS PRECIOS PARA LA SEMANA DE ANO  NUEVO O LA SEMANA DEL CARNAVAL SON DIFERENTES A LOS PRECIOS REGULARES, POR FAVOR CONSÚLTELO ANTES DE INTENTAR RESERVAR",2012-11-26,SÃO CONRADO,-23.00067,-43.27633,Entire home/apt,12.0,4.5,5.0,6.0,16929.0,,,False
669516947296821669,https://www.airbnb.com/rooms/669516947296821669,20250926170004.0,2025-09-27,APARTAMENTO KITNET PRAIA DE BOTAFOGO WIFI/AR COND.,"25M2 KITNET FURNISHED, COMFORTABLE, WITH WI-FI, CABLE TV, AIR-CONDITIONING WITH LATERAL VIEW OF THE BEACH, CLOSE TO EVERYTHING. NEXT TO BOTAFOGO BEACH SHOPPING MALL, METRO, BANKS, PHARMACY, SHOPS, RESTAURANTS, BEACHES, TRANSPORTATION, NEXT TO THE HOUSE AND VIDEO. BAIXO BOTAFOGO (BARS AND CINEMA). 24 HOUR DOORMEN, SECURITY BUILDING UNDER RENOVATION, 4 ELEVATORS, CAMERA MONITORING, INTERCOM, NO GARAGE. NEXT TO COPACABANA BEACH, SUGARLOAF CABLE CAR, CORCOVADO.",2014-04-13,BOTAFOGO,-22.94751,-43.1842,Entire home/apt,2.0,1.0,1.0,1.0,204.0,4.33,4.33,True
1053101509488466161,https://www.airbnb.com/rooms/1053101509488466161,20250926170004.0,2025-09-27,APARTAMENTO COPA,"BETWEEN COPACABANA, LEME AND BOTAFOGO. NEXT TO THE SUBWAY AND READY FOR RIO BOHEMIANISM.",2018-10-30,COPACABANA,-22.96227538898992,-43.17575722932816,Entire home/apt,3.0,1.0,1.0,3.0,187.0,4.58,4.73,False
